id,uuid,location,resolution,producer,operating_system,ip
1018,cRgl78L0,Berlin,4K,Sencor,Android,122.162.133.159
1019,qTukm5xv,Amsterdam,4K,LG,Android,238.226.10.188
1020,0Q4IXaM,Berlin,"Full HD",Philips,Ubuntu,189.81.62.208
1021,wkaE0S79Af,Paris,"Full HD",LG,Linux,204.172.124.126
1022,kRFAKiq7py,Warsaw,"Full HD",Sencor,Ubuntu,67.31.67.165
1023,C7rNT,Paris,4K,LG,Linux,23.186.73.91
1024,ZuqP4,Berlin,4K,LG,Linux,121.204.82.81
1025,XOrSWBi,Paris,"Full HD",LG,Android,3.220.197.126
1026,onBRSt,Warsaw,4K,Philips,Ubuntu,117.187.52.218
1027,bOThI3H,Warsaw,4K,LG,Android,240.108.213.215
1028,ja02HqMkP,Warsaw,4K,LG,Ubuntu,241.159.15.38
1029,wZhCSQ81,Amsterdam,"Full HD",Sencor,Linux,224.129.175.42
1030,rEsjX,Paris,4K,Sencor,Ubuntu,9.45.86.242
1031,NyW8rh,Warsaw,"Full HD",Philips,Ubuntu,89.219.166.4
1032,bQUgzo3m,Berlin,4K,LG,Android,20.110.123.91
1033,7hJ2THX,Paris,4K,Samsung,Linux,254.22.153.57
1034,ETaROvV,Berlin,4K,LG,Ubuntu,203.65.251.116
1035,mV4DQv,Amsterdam,"Full HD",Philips,Linux,121.150.41.233
1036,qkrDasMZ38,Berlin,"Full HD",Sencor,Linux,51.33.166.252
1037,Gni1QX9q8,Warsaw,4K,LG,Ubuntu,55.11.152.206
1038,TWJIL,Paris,"Full HD",Sencor,Linux,244.55.79.77
1039,BnIrh7lGZ6,Berlin,"Full HD",Sencor,Linux,32.228.227.9
1040,zgGfPh,Paris,"Full HD",Sencor,Ubuntu,75.226.32.85
1041,90b7A,Berlin,"Full HD",Sencor,Android,138.227.48.228
1042,9MLba1gc7,Warsaw,"Full HD",Samsung,Android,202.82.48.136
1043,luRDr,Paris,"Full HD",Samsung,Ubuntu,66.254.42.93
1044,QWZdyA4ea,Warsaw,4K,Samsung,Ubuntu,115.155.79.67
1045,3rtO2uU,Amsterdam,4K,LG,Android,141.153.202.120
1046,QLK17H4,Amsterdam,4K,Sencor,Linux,38.82.102.52
1047,SBCNxaf5u,Berlin,4K,Sencor,Linux,221.252.252.179
1048,yc5l1euJ,Paris,"Full HD",Sencor,Android,60.225.3.167
1049,I5Uun,Amsterdam,4K,Sencor,Android,216.217.95.96
1050,inE9R0p63,Paris,4K,Sencor,Ubuntu,45.7.4.127
1051,4T6qP,Paris,4K,Sencor,Ubuntu,80.145.96.154
1052,ykndxEM9Sr,Berlin,4K,Philips,Android,54.136.154.27
1053,a9vdkP,Berlin,4K,Philips,Linux,230.120.193.189
1054,O9QMNm,Paris,4K,Sencor,Linux,107.71.8.92
1055,OfkcW,Berlin,"Full HD",LG,Linux,194.28.174.140
1056,4OSKXuG1,Paris,"Full HD",Samsung,Ubuntu,188.214.132.241
1057,OPFylLa,Warsaw,4K,LG,Android,67.79.245.9
1058,TPz9pusAb,Warsaw,"Full HD",Philips,Ubuntu,182.84.18.112
1059,pb9BzXnvw,Warsaw,4K,Sencor,Android,96.207.170.194
1060,gsqT9G,Warsaw,"Full HD",Philips,Android,153.60.199.226
1061,amKXEGkJD,Warsaw,4K,Sencor,Android,240.104.244.184
1062,0R6Uh,Paris,"Full HD",Samsung,Linux,36.106.229.226
1063,Uvzpjw,Amsterdam,"Full HD",Philips,Ubuntu,89.212.138.33
1064,vdrZP2EVHw,Amsterdam,4K,Sencor,Android,167.169.57.149
1065,ONq2V,Warsaw,4K,LG,Ubuntu,103.84.215.71
1066,D6amYJE2,Berlin,"Full HD",Sencor,Android,136.36.90.165
1067,ACzExv0,Paris,4K,Sencor,Android,90.88.138.202
1068,vfyo9b,Warsaw,"Full HD",Philips,Linux,122.107.42.225
1069,KUFGdulz,Warsaw,"Full HD",Sencor,Ubuntu,80.22.62.163
1070,I17J3tXR,Berlin,4K,Sencor,Android,249.92.35.76
1071,mfRw0,Berlin,"Full HD",Sencor,Linux,199.141.160.234
1072,wyqSKX,Paris,4K,Samsung,Ubuntu,198.156.183.31
1073,RvxVdyZPuO,Paris,"Full HD",Sencor,Ubuntu,70.97.72.245
1074,4cG5K3nw,Berlin,"Full HD",Samsung,Android,222.222.98.140
1075,TpYHOt,Amsterdam,"Full HD",Sencor,Ubuntu,234.112.202.122
1076,8hrECQR,Warsaw,"Full HD",Samsung,Ubuntu,69.11.237.202
1077,Pn5eD,Warsaw,"Full HD",Philips,Ubuntu,217.235.37.145
1078,KAgJD,Warsaw,4K,Samsung,Android,133.168.224.20
1079,crGpoI8VA,Paris,4K,LG,Android,68.123.164.65
1080,1gmZOdWpvK,Amsterdam,"Full HD",LG,Android,194.51.117.8
1081,imdrtce7p,Berlin,"Full HD",Philips,Linux,188.239.186.57
1082,lPuAdHFJ,Berlin,4K,Sencor,Ubuntu,13.76.61.248
1083,oc09OU,Berlin,"Full HD",LG,Ubuntu,100.161.110.132
1084,nP4TBag1U,Amsterdam,4K,Sencor,Linux,187.9.138.110
1085,YF2ijE,Warsaw,4K,Sencor,Linux,163.32.195.43
1086,LfzDHbJY5,Warsaw,"Full HD",Sencor,Ubuntu,70.185.220.152
1087,sIuP6JKCck,Amsterdam,4K,Samsung,Android,177.96.102.39
1088,xMWE7,Berlin,4K,Sencor,Ubuntu,114.31.54.60
1089,WPo0R,Warsaw,4K,Philips,Android,254.219.250.195
1090,CIqi1Lz9,Paris,4K,Samsung,Ubuntu,133.209.220.89
1091,f25GW,Warsaw,4K,Samsung,Ubuntu,0.229.96.72
1092,X7BdcfsRv,Paris,4K,Sencor,Android,89.13.0.41
1093,iI4FEX3,Warsaw,4K,Philips,Linux,170.232.80.101
1094,FIs2hq53y,Warsaw,"Full HD",Philips,Linux,2.3.87.29
1095,7vOSIuE,Berlin,4K,Samsung,Android,189.82.99.104
1096,t18Qh,Warsaw,"Full HD",Samsung,Linux,211.120.182.80
1097,Ig9cFZEC,Berlin,4K,Samsung,Linux,214.5.54.169
1098,4o29gGQKmh,Warsaw,4K,Samsung,Ubuntu,37.36.78.92
1099,wAOqxQa,Warsaw,"Full HD",LG,Linux,96.123.194.231
1100,lkLuJs,Warsaw,"Full HD",Samsung,Ubuntu,9.240.141.52
1101,fuJ0DHcCS,Amsterdam,4K,Sencor,Linux,11.132.181.192
1102,pfXAVvmc,Warsaw,4K,Philips,Android,80.190.143.132
1103,4ocznZM,Warsaw,"Full HD",Sencor,Ubuntu,190.31.34.78
1104,OPb7aZ8tp,Amsterdam,4K,LG,Linux,73.229.57.59
1105,tIkxb,Amsterdam,"Full HD",Philips,Ubuntu,58.192.233.3
1106,wBnJd,Amsterdam,4K,Philips,Linux,190.41.73.247
1107,CZGW0P,Berlin,4K,Sencor,Linux,83.214.176.1
1108,xXhu8,Amsterdam,"Full HD",Philips,Ubuntu,25.236.225.207
1109,SYngq,Amsterdam,"Full HD",LG,Ubuntu,162.116.127.224
1110,X1U5dGT,Warsaw,4K,LG,Linux,126.219.242.173
1111,ep0uRdy1,Amsterdam,4K,Philips,Linux,48.240.101.89
1112,fzjVsv1a,Amsterdam,"Full HD",Samsung,Ubuntu,153.76.15.19
1113,6Q5yS3Uw,Warsaw,4K,Philips,Android,48.251.96.206
1114,3weijf5,Amsterdam,"Full HD",Philips,Linux,54.124.255.29
1115,SQNIat,Warsaw,4K,Sencor,Ubuntu,181.184.175.255
1116,uFomcBOv,Berlin,4K,Samsung,Ubuntu,218.42.212.43
1117,U5F60,Warsaw,"Full HD",Sencor,Linux,49.66.130.61
1118,cJnvhoQX,Warsaw,"Full HD",Philips,Ubuntu,198.12.153.120
1119,HXjNfWvJoZ,Berlin,4K,Philips,Linux,31.157.92.219
1120,9one6gC,Warsaw,"Full HD",Philips,Ubuntu,72.160.150.130
1121,jX0VR,Warsaw,"Full HD",Samsung,Ubuntu,172.210.5.165
1122,iV6uxO,Paris,"Full HD",Sencor,Ubuntu,232.89.248.86
1123,JGBev56,Amsterdam,4K,Samsung,Android,14.142.107.254
1124,NYBWmi,Warsaw,"Full HD",LG,Android,55.131.62.99
1125,GHK95o,Warsaw,4K,LG,Android,176.202.225.171
1126,ewjMLX5H,Warsaw,"Full HD",LG,Ubuntu,105.61.156.136
1127,vaocQS6YM,Amsterdam,"Full HD",Sencor,Linux,59.93.158.153
1128,oIkOijXeTg,Amsterdam,"Full HD",LG,Ubuntu,189.120.182.25
1129,X6M1WPJ8pB,Warsaw,4K,Sencor,Ubuntu,70.138.51.103
1130,9CapLIR4S,Paris,"Full HD",Philips,Linux,195.188.123.194
1131,IhNWna6,Amsterdam,"Full HD",LG,Android,121.76.224.180
1132,PRyo5UV4O,Berlin,"Full HD",Philips,Linux,153.197.174.61
1133,gjSdhaN,Warsaw,"Full HD",Sencor,Ubuntu,30.18.230.113
1134,j4VuPlBx,Berlin,"Full HD",LG,Android,198.28.30.217
1135,iungKr,Amsterdam,"Full HD",Sencor,Ubuntu,117.55.47.105
1136,uTRp6,Warsaw,4K,Samsung,Linux,90.118.211.77
1137,6ZwYj4kv,Berlin,"Full HD",LG,Linux,36.190.137.204
1138,vMCthrNm,Paris,"Full HD",Samsung,Linux,152.1.105.245
1139,abejRw,Berlin,4K,Samsung,Android,223.239.103.52
1140,cKZiu4rk9W,Amsterdam,"Full HD",LG,Ubuntu,145.192.1.147
1141,VyTXipn4,Paris,"Full HD",LG,Android,144.70.169.219
1142,QzqhGAN3L,Warsaw,4K,Philips,Android,38.215.16.199
1143,jJnsPrht,Berlin,4K,Philips,Linux,137.93.91.223
1144,JxTMgyi,Warsaw,"Full HD",Sencor,Linux,124.27.242.51
1145,VUQDLEd,Paris,4K,Philips,Ubuntu,3.42.15.35
1146,ANyeKTI,Paris,"Full HD",Sencor,Android,211.24.229.81
1147,bdrhqyDAY,Warsaw,4K,Sencor,Android,188.178.122.52
1148,7JudPD,Warsaw,4K,Philips,Android,188.12.225.132
1149,k31wF5Ghye,Amsterdam,"Full HD",Sencor,Linux,133.164.191.165
1150,lQ8smCc,Paris,"Full HD",Samsung,Android,218.224.129.254
1151,pDmLMg,Warsaw,4K,Sencor,Linux,207.158.149.147
1152,70RP1cMa,Berlin,"Full HD",Sencor,Android,41.104.208.153
1153,OfCrK45Q,Warsaw,"Full HD",Samsung,Android,81.86.92.84
1154,cPbt7u,Paris,4K,Sencor,Linux,160.104.186.97
1155,61AVR,Warsaw,4K,Samsung,Android,24.115.87.254
1156,qLwxCQBDt,Amsterdam,"Full HD",Samsung,Linux,91.66.198.5
1157,nbx7BiIu,Paris,4K,Sencor,Ubuntu,175.51.188.227
1158,3CpJPjD0M,Paris,"Full HD",Philips,Android,94.39.35.4
1159,DcM1m,Amsterdam,"Full HD",Philips,Linux,1.56.249.140
1160,wikrqC,Berlin,4K,Samsung,Linux,116.162.239.150
1161,jrMEcT,Warsaw,4K,Sencor,Linux,202.129.174.31
1162,ZDzH7,Warsaw,"Full HD",Sencor,Android,185.83.161.96
1163,3dZMnK,Paris,4K,Samsung,Ubuntu,63.24.233.39
1164,XV5NIvRDL,Berlin,"Full HD",LG,Linux,160.246.245.77
1165,FOT9pg,Paris,"Full HD",Sencor,Android,141.213.138.252
1166,rS1JaNsE,Warsaw,"Full HD",Samsung,Android,156.68.173.66
1167,0J1sVYtw,Amsterdam,"Full HD",Philips,Ubuntu,195.189.255.88
1168,ZLHQURY,Berlin,"Full HD",LG,Linux,61.100.113.95
1169,BY56lh8eq,Berlin,4K,Philips,Android,26.229.98.248
1170,qgJ7Hj2p0,Paris,"Full HD",Samsung,Ubuntu,161.160.51.224
1171,IoL8aGS,Amsterdam,"Full HD",LG,Ubuntu,221.90.66.205
1172,vhlVir,Berlin,4K,Philips,Ubuntu,150.204.0.116
1173,XshIozcPZb,Amsterdam,4K,Philips,Android,149.84.206.139
1174,FzrCQh,Amsterdam,"Full HD",Samsung,Android,246.169.234.116
1175,x3TaQCkV,Warsaw,"Full HD",Samsung,Linux,165.172.72.247
1176,brRDtIkh,Berlin,"Full HD",Sencor,Linux,77.198.169.246
1177,PdxstLj,Amsterdam,"Full HD",Samsung,Linux,53.149.183.92
1178,ogwXBae,Paris,"Full HD",LG,Android,7.251.107.68
1179,gKlIzoCbY7,Warsaw,"Full HD",Samsung,Linux,152.63.7.223
1180,Fk8AKuI,Paris,4K,Samsung,Android,233.155.188.239
1181,wpV6rF8,Amsterdam,"Full HD",Philips,Ubuntu,171.200.251.139
1182,ozeF69,Amsterdam,4K,LG,Ubuntu,18.221.26.102
1183,W3mFzp6oIs,Paris,4K,Sencor,Ubuntu,77.248.190.126
1184,8dVy0woCI,Berlin,4K,Samsung,Android,56.72.117.232
1185,xs69ypwLY,Paris,4K,Samsung,Ubuntu,67.172.32.195
1186,Q9U7X,Berlin,"Full HD",Samsung,Ubuntu,98.166.45.127
1187,PzjAC,Warsaw,4K,LG,Ubuntu,193.52.53.159
1188,D5EQR1vA,Berlin,"Full HD",LG,Android,246.16.8.193
1189,dpBHbW,Warsaw,"Full HD",Samsung,Linux,137.105.5.225
1190,GRPSx,Amsterdam,4K,Samsung,Ubuntu,174.114.40.44
1191,L9PrREs1zq,Berlin,4K,LG,Ubuntu,191.145.38.94
1192,y3EZx16MN,Berlin,"Full HD",Philips,Android,242.216.217.88
1193,1gbHiGQJw,Amsterdam,"Full HD",LG,Android,244.136.225.46
1194,OVZhS1,Paris,"Full HD",Sencor,Android,83.69.219.123
1195,sBCr9Fqt,Amsterdam,"Full HD",Sencor,Linux,22.202.18.220
1196,ptU8Gm3XKo,Paris,"Full HD",Philips,Linux,228.184.21.21
1197,mlWKnTc,Berlin,"Full HD",Samsung,Android,56.116.123.100
1198,VjxSbs,Berlin,"Full HD",Philips,Ubuntu,29.18.201.146
1199,tnVEkRC,Paris,4K,Sencor,Linux,21.212.50.177
1200,6otKJn,Paris,"Full HD",Samsung,Linux,133.74.136.179
1201,XpvLm64,Warsaw,4K,LG,Linux,14.71.63.250
1202,R2v9Cq5wS,Amsterdam,4K,Sencor,Android,131.159.29.240
1203,s1Ky0ncx,Amsterdam,4K,Philips,Android,183.130.208.135
1204,BRDp17eTot,Berlin,"Full HD",Philips,Ubuntu,8.162.32.98
1205,u1qgApO,Amsterdam,4K,Samsung,Linux,16.67.201.53
1206,iS6xoaWK9,Paris,"Full HD",Sencor,Linux,92.37.156.178
1207,UcZTRlDv,Amsterdam,4K,LG,Ubuntu,204.202.188.100
1208,MTbn9KQ,Warsaw,4K,LG,Ubuntu,33.197.233.186
1209,RNnTLf,Berlin,4K,LG,Android,139.105.157.178
1210,jG94pl,Amsterdam,4K,LG,Linux,158.52.147.138
1211,0B4P5WGM,Warsaw,4K,Sencor,Linux,10.87.207.67
1212,8p2oUba5,Berlin,"Full HD",Sencor,Linux,153.150.247.216
1213,qM2uIpdY,Berlin,4K,Sencor,Ubuntu,187.131.9.52
1214,10vzi,Warsaw,"Full HD",Samsung,Android,128.82.116.184
1215,X2kSg,Paris,4K,Philips,Linux,203.246.70.11
1216,64fCmIo,Amsterdam,"Full HD",Samsung,Linux,197.252.155.35
1217,9rngb,Amsterdam,"Full HD",Sencor,Ubuntu,164.152.93.254
1218,cgRwoPi,Amsterdam,4K,Samsung,Ubuntu,231.57.105.230
1219,Wk6G2LKntp,Paris,"Full HD",Philips,Android,107.68.58.55
1220,4bgTiqt,Amsterdam,4K,Samsung,Android,10.139.32.78
1221,xeX5LgKla,Paris,"Full HD",LG,Linux,119.25.145.95
1222,KAVCf03Tlt,Warsaw,4K,LG,Android,207.164.126.225
1223,gJ2tXCvT,Berlin,"Full HD",Samsung,Android,212.3.81.205
1224,Fjcg7J3DpG,Berlin,"Full HD",Sencor,Linux,107.23.70.228
1225,SGIWTXA12,Amsterdam,"Full HD",LG,Ubuntu,232.63.207.102
1226,niHNdwEWj,Amsterdam,4K,LG,Ubuntu,103.252.156.58
1227,3EPum7fH,Paris,4K,Sencor,Android,206.18.248.200
1228,aREWHqxCQ,Amsterdam,4K,LG,Linux,68.4.217.37
1229,5Qdvl4M,Warsaw,"Full HD",LG,Linux,88.158.131.113
1230,rEQxF,Amsterdam,4K,Samsung,Android,236.73.221.98
1231,iPOusc,Berlin,4K,Philips,Ubuntu,231.233.12.251
1232,sO3WD,Berlin,4K,Sencor,Ubuntu,199.46.51.40
1233,F2d8Yo,Berlin,"Full HD",Sencor,Android,123.91.128.119
1234,OLhdj,Amsterdam,4K,Philips,Android,181.96.15.163
1235,o3sK91Du7,Berlin,"Full HD",LG,Android,124.1.245.227
1236,dB4STH7DN,Paris,"Full HD",Philips,Android,26.210.116.195
1237,76y01,Berlin,4K,LG,Linux,97.122.165.2
1238,KNqHZXVLEp,Berlin,"Full HD",LG,Android,70.107.243.161
1239,75VX1ygpYA,Amsterdam,4K,LG,Ubuntu,189.19.30.240
1240,Z4XHEoP3Gm,Amsterdam,4K,Samsung,Android,218.131.16.97
1241,UVuK3MloB,Warsaw,"Full HD",LG,Android,71.161.191.176
1242,EIjR8eF,Paris,"Full HD",Samsung,Android,21.95.72.150
1243,Fhj05,Paris,4K,Philips,Ubuntu,248.228.169.166
1244,fIOPe6g,Paris,"Full HD",Sencor,Linux,194.53.67.105
1245,6Qlc5XeOMU,Paris,"Full HD",Sencor,Ubuntu,61.0.41.104
1246,UYAEi,Paris,"Full HD",Philips,Android,12.251.172.209
1247,EtJi0nG,Berlin,4K,LG,Android,148.138.66.108
1248,yIGzEhof8Q,Paris,"Full HD",Sencor,Ubuntu,82.60.39.246
1249,vMflNr5m,Warsaw,4K,Philips,Linux,151.126.22.124
1250,T2PqySl,Berlin,4K,LG,Linux,251.174.41.127
1251,U4oJLEbwq,Paris,"Full HD",Philips,Linux,201.41.182.189
1252,O3uxSa,Amsterdam,4K,LG,Linux,113.55.223.185
1253,STyvKuj,Paris,4K,Samsung,Linux,133.3.241.140
1254,2RHJnXT,Paris,4K,Sencor,Ubuntu,213.33.122.122
1255,qdIOjCvU9,Warsaw,"Full HD",Sencor,Ubuntu,119.49.153.125
1256,1SMGwNuO3,Berlin,"Full HD",Philips,Ubuntu,1.182.149.73
1257,oWQn7RV,Warsaw,"Full HD",Samsung,Ubuntu,66.212.78.11
1258,wUxsJ,Amsterdam,4K,Samsung,Android,223.174.209.58
1259,lwKznV,Warsaw,4K,Philips,Android,245.165.232.223
1260,hrTsF0cSwu,Berlin,4K,Samsung,Ubuntu,10.219.63.178
1261,jbsKVYrHEq,Amsterdam,"Full HD",Sencor,Ubuntu,152.138.24.101
1262,76Oab,Paris,"Full HD",Sencor,Linux,30.1.134.143
1263,DilOYJb,Berlin,4K,LG,Android,86.65.104.113
1264,JpbNs0Y,Berlin,4K,LG,Android,77.45.15.87
1265,zVmpJhA0,Warsaw,4K,Samsung,Linux,136.65.160.128
1266,m0vDoY,Warsaw,"Full HD",Philips,Ubuntu,104.174.186.90
1267,ATzSgJGH6v,Paris,4K,Sencor,Android,62.182.158.54
1268,j1z57my20,Berlin,4K,Philips,Ubuntu,237.81.60.58
1269,Mae1HL,Warsaw,4K,Philips,Linux,46.38.243.232
1270,egbdw,Warsaw,4K,Sencor,Ubuntu,66.89.163.138
1271,o27rU,Warsaw,4K,Samsung,Ubuntu,89.54.139.144
1272,LYZXWcIHf,Paris,"Full HD",Samsung,Ubuntu,146.203.43.242
1273,BshlMET74,Warsaw,4K,Philips,Android,120.158.120.123
1274,SOkYRfFZ0,Berlin,4K,Philips,Android,167.142.145.186
1275,MFn2p5GVk,Berlin,4K,Philips,Android,66.9.215.68
1276,8AlNOHm,Amsterdam,4K,Philips,Linux,64.14.205.171
1277,r7tJX,Paris,"Full HD",Samsung,Android,160.26.27.138
1278,sTv1r8tOIV,Berlin,"Full HD",Samsung,Ubuntu,83.222.25.158
1279,zi5q1AaQk,Amsterdam,"Full HD",Philips,Ubuntu,181.24.37.105
1280,9abdGiEngO,Warsaw,4K,Sencor,Ubuntu,120.131.139.96
1281,41by3RqV,Amsterdam,4K,Samsung,Ubuntu,171.242.170.90
1282,E8aL0GfAB,Paris,"Full HD",LG,Android,175.228.144.76
1283,adxYwL,Berlin,4K,Sencor,Linux,44.254.98.250
1284,a8hoALi1,Berlin,4K,Philips,Linux,224.183.190.11
1285,e2JblAF0g8,Amsterdam,4K,Samsung,Android,79.39.78.158
1286,GMOxg7dhQ,Warsaw,4K,Sencor,Linux,196.150.134.167
1287,6pgUNafvl,Warsaw,"Full HD",LG,Android,133.71.187.125
1288,HRmChbld,Paris,"Full HD",Samsung,Linux,136.17.231.112
1289,SpqGNP5h,Warsaw,"Full HD",Philips,Ubuntu,58.31.115.42
1290,B8co1Hu2W,Berlin,"Full HD",Samsung,Linux,85.221.15.172
1291,SLY1n9,Amsterdam,4K,Sencor,Android,144.93.80.31
1292,xWeadRo,Warsaw,"Full HD",LG,Linux,147.48.3.158
1293,f46Lc2a,Paris,4K,Samsung,Linux,25.21.228.230
1294,EqcplAM3b,Paris,"Full HD",LG,Android,37.41.236.254
1295,3yhRbC,Berlin,"Full HD",Sencor,Android,7.93.71.198
1296,3MbNK7OY,Amsterdam,4K,Sencor,Android,130.135.41.15
1297,cIDQUEt,Paris,"Full HD",Philips,Linux,112.211.100.79
1298,yTM9KDC0,Amsterdam,4K,Philips,Ubuntu,152.25.45.175
1299,LxX2poMdT,Amsterdam,4K,Philips,Linux,254.148.154.233
1300,Ar7T3clp,Warsaw,4K,LG,Linux,12.10.92.86
1301,Msrm4XqkV,Paris,4K,Philips,Android,30.143.70.94
1302,GJWto,Berlin,"Full HD",Samsung,Android,46.147.108.229
1303,KcPaxbCm3A,Berlin,4K,Sencor,Linux,215.244.115.38
1304,Q0NFg,Paris,"Full HD",Sencor,Ubuntu,172.193.126.69
1305,qoIfxZ4KN,Paris,4K,LG,Ubuntu,27.12.16.92
1306,5chTyw,Amsterdam,"Full HD",Philips,Linux,143.14.95.203
1307,zEtxN7dfrn,Amsterdam,4K,Philips,Android,122.151.141.158
1308,OR5fzcvQU,Paris,4K,Sencor,Android,121.88.57.161
1309,RpbwhDKP,Warsaw,"Full HD",Samsung,Linux,143.202.56.61
1310,ZCegQ4,Berlin,4K,Sencor,Linux,107.65.98.236
1311,eyYbaD,Berlin,"Full HD",Philips,Linux,90.216.251.231
1312,DGJzqeBL,Amsterdam,4K,LG,Linux,139.19.66.161
1313,f6GFlV,Berlin,4K,Sencor,Android,99.223.159.38
1314,KnbyLok,Warsaw,"Full HD",LG,Android,47.166.116.221
1315,Ka2AeGh6,Paris,4K,Samsung,Android,174.138.204.63
1316,QNpoudkymC,Warsaw,"Full HD",Philips,Ubuntu,146.117.191.174
1317,MztpHUjE1,Berlin,"Full HD",Philips,Ubuntu,78.239.3.242
1318,H3xkUm8C6,Amsterdam,4K,Philips,Ubuntu,147.57.75.129
1319,PNbAX,Paris,"Full HD",Philips,Android,129.76.231.36
1320,o5ZxrO70y,Paris,4K,Samsung,Ubuntu,33.44.167.176
1321,DzJtlCG0,Amsterdam,4K,Sencor,Linux,231.103.28.235
1322,t10pioKMyW,Amsterdam,"Full HD",Philips,Ubuntu,203.199.147.144
1323,A0eRSJQL,Paris,4K,LG,Linux,186.174.212.65
1324,3vAPTJQS,Paris,"Full HD",LG,Ubuntu,209.81.134.38
1325,ioXWZOtdsg,Paris,4K,Sencor,Linux,103.203.157.157
1326,ghWzHf2Ao,Paris,"Full HD",Samsung,Linux,46.206.167.126
1327,wvAn4qI1,Paris,"Full HD",LG,Android,169.83.197.210
1328,eD2CVfz8,Warsaw,4K,Philips,Linux,95.118.32.41
1329,jPakVh3UH,Amsterdam,4K,Sencor,Android,173.93.33.134
1330,U8BoZufW,Amsterdam,"Full HD",Samsung,Ubuntu,96.82.122.86
1331,3407NI,Warsaw,4K,LG,Linux,65.193.64.240
1332,8fcE5ej,Warsaw,"Full HD",Philips,Linux,71.73.171.132
1333,AgsByHe,Warsaw,4K,LG,Android,168.63.233.245
1334,DE9nv,Berlin,4K,Sencor,Android,201.193.58.61
1335,gu2t0bZ,Paris,4K,Sencor,Ubuntu,198.175.53.9
1336,HpQn0k3,Berlin,"Full HD",Sencor,Ubuntu,221.108.160.248
1337,NH9UrK,Amsterdam,4K,Samsung,Ubuntu,137.182.50.39
1338,HlEqnym,Paris,4K,Philips,Linux,120.164.221.39
1339,aK6tL,Paris,4K,LG,Ubuntu,142.215.201.32
1340,UGSduMlYAc,Berlin,4K,Philips,Linux,1.128.19.218
1341,dbHYXe,Warsaw,"Full HD",Samsung,Linux,77.167.192.49
1342,SWsEQal7,Paris,"Full HD",LG,Android,216.209.119.172
1343,OZr2L,Amsterdam,4K,Philips,Android,226.78.142.234
1344,W2oZ0,Amsterdam,4K,Samsung,Android,39.36.25.103
1345,lfYgHoMbrI,Paris,"Full HD",Philips,Ubuntu,213.9.182.185
1346,9aBgZ,Berlin,4K,LG,Ubuntu,151.104.46.15
1347,Zaze8,Warsaw,"Full HD",Sencor,Linux,193.126.135.205
1348,NlKXyo,Paris,"Full HD",Samsung,Linux,18.102.21.6
1349,ifGWCk,Paris,4K,Philips,Linux,250.224.224.148
1350,dIOp0A,Paris,"Full HD",LG,Ubuntu,185.32.139.245
1351,3iHZtSPE,Amsterdam,"Full HD",LG,Linux,102.101.112.202
1352,zBA9Xg,Warsaw,"Full HD",Samsung,Ubuntu,94.86.61.32
1353,LaOvWko,Berlin,"Full HD",LG,Ubuntu,211.251.178.180
1354,sYC5e,Warsaw,4K,Samsung,Ubuntu,232.119.208.94
1355,KcCxsOW,Warsaw,"Full HD",Samsung,Linux,67.31.188.76
1356,zyH0INXv,Berlin,"Full HD",LG,Linux,55.159.30.40
1357,hNswzVcbW,Warsaw,4K,LG,Ubuntu,178.27.15.128
1358,MVoeZg8WU,Warsaw,"Full HD",Samsung,Linux,33.254.82.149
1359,yCdJr,Berlin,"Full HD",Philips,Ubuntu,255.251.38.41
1360,FAVK8MJb,Berlin,4K,Samsung,Ubuntu,12.50.174.40
1361,sfUy9S,Paris,4K,Sencor,Android,98.248.114.18
1362,3ypuU,Paris,4K,Philips,Linux,81.223.123.2
1363,VDAioyEk7x,Paris,4K,Samsung,Ubuntu,155.134.62.95
1364,FbWxv0,Warsaw,"Full HD",Sencor,Linux,58.124.222.113
1365,fLF6k,Berlin,"Full HD",LG,Ubuntu,6.251.111.119
1366,uUXVh,Berlin,4K,Philips,Linux,254.147.232.118
1367,vQVwLlI,Amsterdam,"Full HD",Philips,Ubuntu,241.3.112.68
1368,6Amdft,Amsterdam,"Full HD",Samsung,Linux,81.94.173.32
1369,fBqSEDZlC,Warsaw,4K,Philips,Ubuntu,111.223.22.204
1370,b3HPut4LU,Paris,"Full HD",Sencor,Linux,159.44.38.131
1371,dyTIDA,Berlin,"Full HD",Philips,Linux,220.34.221.51
1372,1NmJ8,Amsterdam,4K,LG,Ubuntu,114.30.40.46
1373,yYxB95Z,Paris,"Full HD",LG,Android,197.7.55.104
1374,onbgM4,Paris,4K,Philips,Linux,137.179.129.194
1375,jbtk1RK,Paris,4K,LG,Android,241.243.150.3
1376,hBAsgfkDnb,Amsterdam,"Full HD",LG,Ubuntu,236.198.77.120
1377,Cef82btG,Warsaw,"Full HD",LG,Ubuntu,0.68.56.200
1378,MWSYC0R,Berlin,"Full HD",Philips,Ubuntu,152.131.54.223
1379,NlAO2,Warsaw,4K,LG,Android,129.243.249.117
1380,CbtnfF3,Amsterdam,4K,Philips,Android,42.201.161.141
1381,SslabCT0U1,Paris,"Full HD",Philips,Android,242.132.199.108
1382,og1wTxy0W,Warsaw,4K,Sencor,Ubuntu,200.76.43.157
1383,vUo4yb0,Paris,4K,Sencor,Linux,11.123.62.75
1384,BmUxu,Paris,"Full HD",LG,Linux,222.72.209.164
